x:479, y:  0, r:  164, g:  167, b:  160
x:  0, y:  0, r:  148, g:    2, b:   11
x:  0, y:  1, r:  150, g:    5, b:   12
x:  0, y:  2, r:  151, g:    3, b:    9
x:  0, y:  3, r:  151, g:    3, b:   11
x:  0, y:  4, r:  155, g:    4, b:   15
x:  0, y:  5, r:  154, g:    7, b:   15
x:  0, y:  6, r:  155, g:    4, b:   13
x:  0, y:  7, r:  156, g:    7, b:   16
x:  0, y:  8, r:  152, g:    5, b:   13
x:  0, y:  9, r:  155, g:    5, b:   14
x:  0, y: 10, r:  155, g:    5, b:   17
x:  0, y: 11, r:  158, g:    7, b:   18
x:  0, y: 12, r:  156, g:    7, b:   19
x:  0, y: 13, r:  154, g:    6, b:   18
x:  0, y: 14, r:  161, g:   13, b:   26
x:  0, y: 15, r:  150, g:    3, b:   13
x:  0, y: 16, r:  154, g:    6, b:   18
x:  0, y: 17, r:  148, g:    0, b:   12
x:  0, y: 18, r:  149, g:    2, b:   12
x:  0, y: 19, r:  150, g:    2, b:    9
x:  0, y: 20, r:  148, g:    3, b:   10
x:  0, y: 21, r:  152, g:    6, b:   13
x:  0, y: 22, r:  150, g:    2, b:   10
x:  0, y: 23, r:  154, g:    4, b:   13
x:  0, y: 24, r:  155, g:    4, b:   13
x:  0, y: 25, r:  156, g:    6, b:   15
x:  0, y: 26, r:  158, g:    8, b:   17
x:  0, y: 27, r:  155, g:    5, b:   14
x:  0, y: 28, r:  155, g:    5, b:   16
x:  0, y: 29, r:  154, g:    4, b:   16
x:  0, y: 30, r:  153, g:    3, b:   14
x:  0, y: 31, r:  153, g:    3, b:   14
x:  0, y: 32, r:  153, g:    3, b:   14
x:  0, y: 33, r:  151, g:    4, b:   14
x:  0, y: 34, r:  149, g:    2, b:   12
x:  0, y: 35, r:  148, g:    2, b:   12
x:  0, y: 36, r:  152, g:    3, b:   12
x:  0, y: 37, r:  154, g:    4, b:   13
x:  0, y: 38, r:  153, g:    3, b:   14
x:  0, y: 39, r:  158, g:    8, b:   19
x:  0, y: 40, r:  154, g:    4, b:   15
x:  0, y: 41, r:  157, g:    7, b:   18
x:  0, y: 42, r:  157, g:    6, b:   17
x:  0, y: 43, r:  162, g:   10, b:   22
x:  0, y: 44, r:  155, g:    3, b:   15
x:  0, y: 45, r:  159, g:    7, b:   19
x:  0, y: 46, r:  156, g:    6, b:   17
x:  0, y: 47, r:  157, g:    9, b:   19
x:  0, y: 48, r:  148, g:    1, b:   11
x:  0, y: 49, r:  151, g:    4, b:   14
x:  0, y: 50, r:  148, g:    1, b:   11
x:  0, y: 51, r:  147, g:    0, b:   10
x:  0, y: 52, r:  148, g:    1, b:   11
x:  0, y: 53, r:  148, g:    0, b:    9
x:  0, y: 54, r:  156, g:    2, b:   14
x:  0, y: 55, r:  155, g:    2, b:   14
x:  0, y: 56, r:  158, g:    4, b:   16
x:  0, y: 57, r:  163, g:    7, b:   20
x:  0, y: 58, r:  161, g:    5, b:   18
x:  0, y: 59, r:  160, g:    6, b:   18
x:  0, y: 60, r:  160, g:    4, b:   16
x:  0, y: 61, r:  161, g:    9, b:   18
x:  0, y: 62, r:  155, g:    5, b:   14
x:  0, y: 63, r:  162, g:   13, b:   22
x:  0, y: 64, r:  152, g:    1, b:   12
x:  0, y: 65, r:  154, g:    4, b:   12
x:  0, y: 66, r:  152, g:    2, b:   11
x:  0, y: 67, r:  150, g:    1, b:    8
x:  0, y: 68, r:  152, g:    2, b:   11
x:  0, y: 69, r:  151, g:    1, b:   12
x:  0, y: 70, r:  152, g:    2, b:   13
x:  0, y: 71, r:  150, g:    0, b:   11
x:  0, y: 72, r:  156, g:    4, b:   16
x:  0, y: 73, r:  156, g:    4, b:   16
x:  0, y: 74, r:  158, g:    6, b:   18
x:  0, y: 75, r:  157, g:    6, b:   17
x:  0, y: 76, r:  155, g:    3, b:   15
x:  0, y: 77, r:  158, g:    7, b:   19
x:  0, y: 78, r:  157, g:    7, b:   19
x:  0, y: 79, r:  161, g:   11, b:   23
