x:474, y:  0, r:   25, g:   29, b:   38
x:475, y:  0, r:   24, g:   28, b:   37
x:476, y:  0, r:   26, g:   29, b:   38
x:477, y:  0, r:   27, g:   29, b:   40
x:478, y:  0, r:   28, g:   29, b:   42
x:479, y:  0, r:   29, g:   31, b:   44
x:  0, y:  0, r:  187, g:  198, b:  194
x:  0, y:  1, r:  187, g:  198, b:  194
x:  0, y:  2, r:  186, g:  195, b:  192
x:  0, y:  3, r:  190, g:  196, b:  194
x:  0, y:  4, r:  191, g:  197, b:  195
x:  0, y:  5, r:  190, g:  196, b:  194
x:  0, y:  6, r:  191, g:  197, b:  195
x:  0, y:  7, r:  189, g:  195, b:  193
x:  0, y:  8, r:  192, g:  198, b:  196
x:  0, y:  9, r:  191, g:  197, b:  195
x:  0, y: 10, r:  192, g:  198, b:  196
x:  0, y: 11, r:  191, g:  197, b:  195
x:  0, y: 12, r:  190, g:  196, b:  194
x:  0, y: 13, r:  193, g:  199, b:  197
x:  0, y: 14, r:  193, g:  197, b:  196
x:  0, y: 15, r:  194, g:  198, b:  197
x:  0, y: 16, r:  194, g:  198, b:  197
x:  0, y: 17, r:  193, g:  197, b:  196
x:  0, y: 18, r:  194, g:  198, b:  197
x:  0, y: 19, r:  193, g:  197, b:  196
x:  0, y: 20, r:  195, g:  199, b:  198
x:  0, y: 21, r:  195, g:  199, b:  198
x:  0, y: 22, r:  195, g:  199, b:  198
x:  0, y: 23, r:  193, g:  197, b:  196
x:  0, y: 24, r:  193, g:  197, b:  196
x:  0, y: 25, r:  194, g:  198, b:  197
x:  0, y: 26, r:  192, g:  196, b:  196
x:  0, y: 27, r:  194, g:  198, b:  199
x:  0, y: 28, r:  195, g:  199, b:  200
x:  0, y: 29, r:  194, g:  198, b:  199
x:  0, y: 30, r:  195, g:  199, b:  200
x:  0, y: 31, r:  195, g:  199, b:  200
x:  0, y: 32, r:  194, g:  200, b:  200
x:  0, y: 33, r:  191, g:  198, b:  197
x:  0, y: 34, r:  190, g:  198, b:  198
x:  0, y: 35, r:  193, g:  197, b:  199
x:  0, y: 36, r:  194, g:  198, b:  199
x:  0, y: 37, r:  195, g:  198, b:  199
x:  0, y: 38, r:  193, g:  199, b:  197
x:  0, y: 39, r:  193, g:  200, b:  199
x:  0, y: 40, r:  195, g:  198, b:  197
x:  0, y: 41, r:  195, g:  199, b:  197
x:  0, y: 42, r:  195, g:  199, b:  200
x:  0, y: 43, r:  195, g:  199, b:  197
x:  0, y: 44, r:  194, g:  198, b:  197
x:  0, y: 45, r:  195, g:  199, b:  201
x:  0, y: 46, r:  192, g:  196, b:  197
x:  0, y: 47, r:  194, g:  198, b:  199
x:  0, y: 48, r:  192, g:  196, b:  197
x:  0, y: 49, r:  192, g:  196, b:  197
x:  0, y: 50, r:  192, g:  196, b:  197
x:  0, y: 51, r:  192, g:  196, b:  197
x:  0, y: 52, r:  195, g:  199, b:  200
x:  0, y: 53, r:  194, g:  198, b:  199
x:  0, y: 54, r:  193, g:  197, b:  198
x:  0, y: 55, r:  193, g:  200, b:  199
x:  0, y: 56, r:  193, g:  197, b:  198
x:  0, y: 57, r:  194, g:  198, b:  199
x:  0, y: 58, r:  194, g:  198, b:  199
x:  0, y: 59, r:  194, g:  198, b:  199
x:  0, y: 60, r:  195, g:  199, b:  200
x:  0, y: 61, r:  194, g:  199, b:  200
x:  0, y: 62, r:  194, g:  199, b:  200
x:  0, y: 63, r:  194, g:  199, b:  200
x:  0, y: 64, r:  195, g:  199, b:  199
x:  0, y: 65, r:  194, g:  198, b:  202
x:  0, y: 66, r:  195, g:  199, b:  202
x:  0, y: 67, r:  194, g:  198, b:  199
x:  0, y: 68, r:  194, g:  198, b:  200
x:  0, y: 69, r:  195, g:  199, b:  202
x:  0, y: 70, r:  194, g:  198, b:  201
x:  0, y: 71, r:  195, g:  199, b:  202
x:  0, y: 72, r:  195, g:  199, b:  202
x:  0, y: 73, r:  195, g:  199, b:  202
x:  0, y: 74, r:  195, g:  199, b:  201
x:  0, y: 75, r:  195, g:  198, b:  202
